Allegany County,"21502, 21532, 21545, 21530, 21557, 21555, 21529, 21542, 21524, 21562, 21766"
,
Anne Arundel,"21060, 20779, 20765, 20758, 21077, 20776, 21061, 20714, 20751, 20711, 21225, 21037,20778, 20724, 21076,21035, 20764, 21032, 21012, 21054, 21114, 21113, 21409, 21140, 20733, 21108, 21402, 21146, 21144, 21403, 21056, 21401, 21090, 21122, 20755, 21405"
,
Baltimore City County,"21229, 21205, 21226, 21210, 21239, 21223, 21212, 21201, 21211, 21251, 21213, 21224, 21206, 21231, 21230, 21215, 21216, 21218, 21214, 21217, 21202"
,
Baltimore County,"21030, 21131, 21013, 21051,21152, 21087, 21155, 21162, 21286, 21111, 21082, 21156, 21093, 21153, 21128, 21163, 21117, 21052, 21053, 21057, 21120, 21071, 21228, 21133, 21236, 21136, 21237, 21220, 21221, 21244, 21222, 21250, 21209, 21208, 21204, 21227, 21234, 21252, 21219, 21207."
,
Calvert County,"20689, 20639, 20732, 20685 20678, 20688, 20629, 20657, 20754, 20676, 20736, 20615"
,
Caroline County,"21655, 21639, 21629, 21649, 21640, 21636, 21632, 21660"
,
Carroll County,"21048, 21784, 21776, 21787, 21102, 21158, 21157, 21757, 21074"
,
Cecil County,"21921, 21920, 21930, 21917, 21912, 21913, 21919, 21902, 21915, 21914, 21911, 21918, 21903, 21904, 21901"
,
Charles County,"20640, 20632, 20646, 20601, 20625, 20637, 20675, 20693, 20645, 20677, 20603, 20622, 20664, 20658, 20611, 20612, 20617, 20662, 20616, 20695"
,
Dorchester County,"21626, 21669, 21659, 21648, 21672, 21677, 21835, 21622, 21634, 21664, 21631, 21643, 21613, 21869"
,
Frederick County,"21754, 21704, 21755, 21771, 21710, 21770, 21798, 21774, 21727, 21773, 21702, 21703, 21791, 21793, 21718, 21762, 21716, 21777, 21701, 21778, 21769, 21788, 21780"
,
Garrett County,"21531, 21536, 21520, 21522, 21521, 21523, 21538, 21550, 21541, 21561, 21539"
,
Harford County,"21001, 21047, 21050, 21015, 21014, 21132, 21017, 21028, 21085, 21160, 21161, 21009, 21005, 21040, 21084, 21130, 21154, 21034, 21078"
,
Howard,"21043, 21044, 21738, 21029, 21045, 21046, 21794, 21042, 21036, 21075, 20777, 21723, 20759, 21104, 21737, 21797, 20723, 20763, 20794,"
,
Kent,"21667, 21620, 21645, 21610, 21651, 21635, 21678, 21661"
,
Montgomery,"20814, 20818, 20817, 20815, 20816, 20896, 20899, 20852, 20851, 20832, 20854, 20853, 20855, 20912, 20850, 20812, 20901, 20874, 20868, 20879, 20871, 20876, 20878, 20866, 20895, 20861, 20862, 20833, 20872, 20860, 20842, 20905, 20910, 20837, 20902, 20882 ,20841, 20877, 20906, 20880, 20904 , 20903, 20838,"
,
Prince George's County,"20762, 20715, 20716, 20737, 20705, 20712, 20720, 20623, 20607, 20781, 20721, 20735, 20769, 20613, 20742, 20774, 20743, 20772, 20708, 20747, 20783, 20707, 20782, 20770, 20706, 20722, 20740, 20748, 20746, 20784, 20744, 2074, 20608, 20785, 20710"
,
Queen Anne's County,"21666, 21619, 21658, 21670, 21657, 21638, 21628, 21623, 21668, 21617, 21644"
,
Somerset County,"21817, 21890, 21824, 21853, 21838, 21871, 21821"
,
St. Mary's County,"20690, 20680, 20634, 20620, 20630, 20692, 20674, 20636, 20686, 20667, 20653, 20650, 20684, 20687, 20670,20626, 20621,20619, 20618, 20606, 20628, 20659, 20624, 20609"
,
Talbot County,"21625, 21654, 21624, 21673, 21679, 21601, 21652, 21671, 21647, 21676,21662, 21612, 21665"
,
Washington County,"21711, 21740, 21795, 21719, 21722, 21783, 21758, 21756, 21750, 21746, 21779, 21713, 21742, 21733, 21782, 21734, 21767"
,
Wicomico County,"21874, 21814, 21801,21849, 21865, 21830, 21861, 21810, 21850, 21804, 21875, 21840, 21856, 21837, 21826"
,
Worcester County,"21813, 21863, 21842, 21864, 21862, 21841, 21811, 21829, 21851, 21872, 21822"